,_id,title
0,5fe77df2f50bb5989124a89a,Ancient Theories of Freedom and Determinism
1,5fe77ddef50bb5989124a881,Culture
2,5f1bb3a3896f82cdbda61150,Hegel’s Dialectics
3,5f1bb3fd896f82cdbda61180,Ibn Sina’s Natural Philosophy
