,_id,page_url,copyright
0,6068faa4a67618f0125ef77d,/entries/feminism-argumentation/,Catherine E. Hundleby 
1,6068faafa67618f0125ef78a,/entries/human-nature/,Neil Roughley 
2,6068fab0a67618f0125ef78c,/entries/hyperintensionality/,Francesco Berto and Daniel Nolan 
