,_id,page_url,title,api_endpoint,json_type
0,615291eb9050fcc8b5bd9eee,/entries/fuller-margaret/,Margaret Fuller,none,Thinker
1,615292659050fcc8b5bd9f6a,/entries/critical-phil-race/,Critical Philosophy of Race,none,Idea
2,615292869050fcc8b5bd9f97,/entries/legal-interpretation/,Legal Interpretation,none,Idea
3,615292ae9050fcc8b5bd9fca,/entries/spacetime-theories-classical/,Absolute and Relational Space and Motion: Classical Theories,none,Idea
