,page_url,title,api_endpoint,json_type
0,/entries/fuller-margaret/,Margaret Fuller,no_api_data,Thinker
1,/entries/critical-phil-race/,Critical Philosophy of Race,no_api_data,Idea
2,/entries/legal-interpretation/,Legal Interpretation,no_api_data,Idea
3,/entries/spacetime-theories-classical/,Absolute and Relational Space and Motion: Classical Theories,no_api_data,Idea
