,_id,page_url,title,domain_tags,primary_domain,score
1218,5f1baf96896f82cdbda60f13,/entries/arabic-islamic-mysticism/,Mysticism in Arabic and Islamic Philosophy,"Arabic and Islamic Philosophy,Philosophy of Religion",Arabic and Islamic Philosophy,4.464132552772911
1232,5f1bb3f2896f82cdbda61179,/entries/ibn-bajja/,Ibn Bâjja [Avempace],"Thinker,Arabic and Islamic Philosophy",Thinker,4.752151700502544
1237,5f1bb412896f82cdbda6118c,/entries/ikhwan-al-safa/,Ikhwân al-Safâ’,"Thinker,Arabic and Islamic Philosophy,Philosophy of Science",Thinker,3.4787387578148596
1249,5f1bb613896f82cdbda612f5,/entries/mulla-sadra/,Mulla Sadra,Thinker,Thinker,3.9556754961653526
1272,5f1baf8b896f82cdbda60f0c,/entries/arabic-islamic-causation/,Causation in Arabic and Islamic Thought,"Arabic and Islamic Philosophy,Metaphysics",Arabic and Islamic Philosophy,5.039064318753859
1355,5f1baf8f896f82cdbda60f0e,/entries/arabic-islamic-influence/,Influence of Arabic and Islamic Philosophy on the Latin West,Arabic and Islamic Philosophy,Arabic and Islamic Philosophy,3.6790665321147644
1412,5f1baf48896f82cdbda60ee3,/entries/al-farabi-soc-rel/,al-Farabi’s Philosophy of Society and Religion,"Thinker,Arabic and Islamic Philosophy,Social and Political Philosophy, Philosophy of Religion",Social and Political Philosophy,4.238710622938322
1440,5f1bb3fe896f82cdbda61181,/entries/ibn-sina/,Ibn Sina [Avicenna],"Thinker,Logic,Metaphysics,Arabic and Islamic Philosophy",Thinker,5.673441442679989
1461,5f1bb854896f82cdbda61434,/entries/roger-bacon/,Roger Bacon,Thinker,Thinker,4.2325353295639845
1481,5f1bb3f4896f82cdbda6117b,/entries/ibn-gabirol/,Solomon Ibn Gabirol [Avicebron],"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,3.4163899611602417
1491,5f1bb9eb896f82cdbda61530,/entries/william-auvergne/,William of Auvergne,"Thinker,Philosophy of Religion",Thinker,3.1827720952887
