,_id,page_url,title,domain_tags,primary_domain,score
113,5f1bb461896f82cdbda611c2,/entries/japanese-pure-land/,Japanese Pure Land Philosophy,Japanese Philosophy,Japanese Philosophy,5.261010663
1075,5f1bb1d2896f82cdbda61044,/entries/dietrich-freiberg/,Dietrich of Freiberg,Thinker,Thinker,5.267026703
1146,5f1bb677896f82cdbda61331,/entries/ontological-arguments/,Ontological Arguments,Philosophy of Religion,Philosophy of Religion,5.278032298
810,5f1bb3a2896f82cdbda6114f,/entries/hegel-aesthetics/,Hegel’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,5.278929346
245,5f1bb9e5896f82cdbda6152c,/entries/whewell/,William Whewell,"Thinker, Philosophy of Science",Thinker,5.279840055
289,5f1baf89896f82cdbda60f0b,/entries/aquinas/,Saint Thomas Aquinas,"Thinker,Philosophy of Religion,Logic",Thinker,5.28763669
1259,5f1bb3f6896f82cdbda6117c,/entries/ibn-kammuna/,Ibn Kammuna,"Thinker,Jewish Philosophy,Philosophy of Religion",Thinker,5.2988823
464,5f1bb9ff896f82cdbda6153d,/entries/wodeham/,Adam de Wodeham,"Thinker,Philosophy of Religion",Thinker,5.306641213
161,5f1bb1b1896f82cdbda61031,/entries/descartes-ontological/,Descartes’ Ontological Argument,"Thinker,Philosophy of Religion",Philosophy of Religion,5.311268532
194,5f1bb845896f82cdbda6142a,/entries/richard-price/,Richard Price,Thinker,Thinker,5.312251485
279,5f1bb3d4896f82cdbda61169,/entries/holkot/,Robert Holkot,Thinker,Thinker,5.315245685
66,5f1bb96d896f82cdbda614e4,/entries/thought-experiment/,Thought Experiments,"Philosophy of Science,Epistemology",Philosophy of Science,5.334576023
1403,5f1bb70f896f82cdbda6137e,/entries/plato-aesthetics/,Plato’s Aesthetics,"Thinker,Aesthetics and Philosophy of Art",Aesthetics and Philosophy of Art,5.359352194
965,5f1bb87d896f82cdbda6144e,/entries/scholem/,Gershom Scholem,"Thinker,Philosophy of Religion,Jewish Philosophy",Thinker,5.371423499
446,5f1bafcb896f82cdbda60f30,/entries/astell/,Mary Astell,"Thinker,Feminist Philosophy",Thinker,5.374277461
185,5f1bb381896f82cdbda6113c,/entries/green/,Thomas Hill Green,"Thinker,Metaphysics,Ethics,Social and Political Philosophy",Thinker,5.375539327
447,5f1bba01896f82cdbda6153e,/entries/wolff-christian/,Christian Wolff,"Thinker,Philosophy of Science, Logic, Metaphysics",Thinker,5.379927537
516,5f1bb124896f82cdbda60fe9,/entries/conservatism/,Conservatism,Social and Political Philosophy,Social and Political Philosophy,5.385970643
469,5f1bb46e896f82cdbda611cc,/entries/john-salisbury/,John of Salisbury,"Thinker, Social and Political Philosophy",Thinker,5.390186015
125,5f1bb581896f82cdbda6128f,/entries/margaret-cavendish/,Margaret Lucas Cavendish,"Thinker,Metaphysics,Social and Political Philosophy",Thinker,5.395868084
665,5f1bb1f0896f82cdbda61055,/entries/divine-simplicity/,Divine Simplicity,Philosophy of Religion,Philosophy of Religion,5.402765384
1048,5f1bb6dc896f82cdbda61360,/entries/personalism/,Personalism,"Philosophy of Mind,Ethics,Social and Political Philosophy",Philosophy of Mind,5.406387718
1531,5f1baf3b896f82cdbda60edc,/entries/afterlife/,Afterlife,"Philosophy of Religion,Metaphysics",Philosophy of Religion,5.425193244
450,5f1bb342896f82cdbda61118,/entries/future-contingents/,Future Contingents,"Logic,Metaphysics",Logic,5.435300712
1024,5f1baf2f896f82cdbda60ed4,/entries/aesthetics-18th-german/,18th Century German Aesthetics,Aesthetics and Philosophy of Art,Aesthetics and Philosophy of Art,5.441705378
534,5f1bb506896f82cdbda6123e,/entries/locke/,John Locke,Thinker,Thinker,5.445898565
225,5f1bb732896f82cdbda61392,/entries/plutarch/,Plutarch,"Thinker,Ethics",Thinker,5.458898982
1480,5f1bb062896f82cdbda60f80,/entries/cardano/,Girolamo [Geronimo] Cardano,"Thinker, Metaphysics",Thinker,5.461970487
579,5f1bb5a4896f82cdbda612aa,/entries/medieval-futcont/,Medieval Theories of Future Contingents,Logic,Logic,5.462595226
470,5f1baf3a896f82cdbda60edb,/entries/africana/,Africana Philosophy,"African and African-American Philosophy,Metaphysics",African and African-American Philosophy,5.471789291
156,5f1bb01b896f82cdbda60f5c,/entries/bodin/,Jean Bodin,Thinker,Thinker,5.484969568
138,5f1bb66c896f82cdbda6132b,/entries/ockham/,William of Ockham,"Thinker,Logic",Thinker,5.486013611
1088,5f1bb624896f82cdbda612fe,/entries/natphil-ren/,Natural Philosophy in the Renaissance,Philosophy of Science,Philosophy of Science,5.486375614
1358,5f1bb051896f82cdbda60f75,/entries/buridan/,John Buridan,"Thinker, Logic, Metaphysics, Philosophy of Language",Thinker,5.488384326
